D1098819	0
D2268823	23894
D2383262	28225
D1744573	30612
D652786	32908
D479836	45469
D2439107	87732
D1604764	91814
D1206455	93543
D630593	107486
D789880	110184
D2339517	113609
D1982685	116396
D817622	119805
D1395834	123585
D3031794	127968
D1365613	134474
D2927909	140012
D244903	158420
D2587250	179892
D889734	184069
D1362705	184816
D2562523	185856
D21876	191570
D2141281	202280
D184805	212542
D2047509	217295
D1151137	219128
D511242	223167
D2655673	228811
D2234879	232631
D2529521	233921
D462341	265561
D209838	270999
D2263039	278063
D1750628	280941
D2974898	287958
D2748209	288337
D1176300	291910
D1349209	307009
D1769019	312332
D176855	338850
D2606674	391721
D944250	428613
D2421221	429688
D1294403	439039
D1753501	442106
D2651697	444695
D2290322	448757
D2266707	453891
D408229	469676
D2198444	485395
D7989	488417
D3121724	493021
D58403	493720
D2530093	502766
D1297032	507296
D2547704	508132
D1957003	511289
D2379514	517618
D242671	524159
D1144894	526472
D2231344	528200
D707520	537071
D2779191	540247
D470878	545883
D831406	549277
D556655	579587
D455935	592486
D856059	594975
D2377672	597314
D597019	650784
D2080226	654966
D2939066	656223
D1000322	656718
D451239	689580
D3015022	708710
D281182	710011
D2174500	720612
D148312	723246
D3040232	731023
D3226860	732860
D397508	734717
D1328492	735954
D917779	742089
D956316	754531
D722724	757965
D609019	760717
D875376	763590
D1510486	768905
D312010	779459
D1815763	780355
D1979749	780986
D408570	790995
D1391443	794497
D133480	795853
D3145917	854177
D99738	855687
D1410233	858169
D3207000	861511
D3201310	863192
D1720312	864678
D2468137	867894
D367355	870850
D1020246	872883
D396938	878231
D1666340	881516
D2625517	881952
D1395708	1314749
D344758	1317164
D1728931	1318058
D1681193	1319860
D1303969	1322376
D1754044	1343160
D327401	1347205
D2821214	1350485
D2080655	1352437
D1518565	1354441
D2889116	1356910
D1490804	1357571
D1845300	1358545
D2766525	1368598
D2009701	1370084
D2185470	1374003
D37521	1374300
D2870074	1377809
D2509296	1378728
D1243036	1379365
D3280289	1381274
D1893267	1382831
D1621024	1390493
D3168107	1419228
D1994536	1421332
D3144869	1426241
D279999	1427837
D470693	1429250
D2003744	1433404
D3469174	1437366
D2578194	1440712
D1527227	1444109
D2524592	1447300
D2730690	1451067
D357827	1452672
D1356754	1455745
D3102622	1457536
D1064273	1461759
D389264	1465076
D403802	1467182
D1529731	1470303
D1388684	1473495
D2545872	1475623
D670604	1477168
D2230969	1486206
